tranche,financial_year,cap_pj,adder_$/gj
existing_industry_byproduct,2025,30.0,0.0
collected_residues,2025,5.0,5.5
energy_crops,2025,0.0,10.0
imported_pellet_backstop,2025,,15.0
existing_industry_byproduct,2026,30.0,0.0
collected_residues,2026,9.0,5.5
energy_crops,2026,0.0,10.0
imported_pellet_backstop,2026,,15.0
existing_industry_byproduct,2027,30.0,0.0
collected_residues,2027,13.0,5.5
energy_crops,2027,0.0,10.0
imported_pellet_backstop,2027,,15.0
existing_industry_byproduct,2028,30.0,0.0
collected_residues,2028,17.0,5.5
energy_crops,2028,0.0,10.0
imported_pellet_backstop,2028,,15.0
existing_industry_byproduct,2029,30.0,0.0
collected_residues,2029,21.0,5.5
energy_crops,2029,0.0,10.0
imported_pellet_backstop,2029,,15.0
existing_industry_byproduct,2030,30.0,0.0
collected_residues,2030,25.0,5.5
energy_crops,2030,0.0,10.0
imported_pellet_backstop,2030,,15.0
existing_industry_byproduct,2031,30.0,0.0
collected_residues,2031,28.5,5.5
energy_crops,2031,0.0,10.0
imported_pellet_backstop,2031,,15.0
existing_industry_byproduct,2032,30.0,0.0
collected_residues,2032,32.0,5.5
energy_crops,2032,0.0,10.0
imported_pellet_backstop,2032,,15.0
existing_industry_byproduct,2033,30.0,0.0
collected_residues,2033,35.5,5.5
energy_crops,2033,0.0,10.0
imported_pellet_backstop,2033,,15.0
existing_industry_byproduct,2034,30.0,0.0
collected_residues,2034,39.0,5.5
energy_crops,2034,0.0,10.0
imported_pellet_backstop,2034,,15.0
existing_industry_byproduct,2035,30.0,0.0
collected_residues,2035,42.5,5.5
energy_crops,2035,0.0,10.0
imported_pellet_backstop,2035,,15.0
existing_industry_byproduct,2036,30.0,0.0
collected_residues,2036,46.0,5.5
energy_crops,2036,6.0,10.0
imported_pellet_backstop,2036,,15.0
existing_industry_byproduct,2037,30.0,0.0
collected_residues,2037,49.5,5.5
energy_crops,2037,12.0,10.0
imported_pellet_backstop,2037,,15.0
existing_industry_byproduct,2038,30.0,0.0
collected_residues,2038,53.0,5.5
energy_crops,2038,18.0,10.0
imported_pellet_backstop,2038,,15.0
existing_industry_byproduct,2039,30.0,0.0
collected_residues,2039,56.5,5.5
energy_crops,2039,24.0,10.0
imported_pellet_backstop,2039,,15.0
existing_industry_byproduct,2040,30.0,0.0
collected_residues,2040,60.0,5.5
energy_crops,2040,30.0,10.0
imported_pellet_backstop,2040,,15.0
existing_industry_byproduct,2041,30.0,0.0
collected_residues,2041,63.0,5.5
energy_crops,2041,39.0,10.0
imported_pellet_backstop,2041,,15.0
existing_industry_byproduct,2042,30.0,0.0
collected_residues,2042,66.0,5.5
energy_crops,2042,48.0,10.0
imported_pellet_backstop,2042,,15.0
existing_industry_byproduct,2043,30.0,0.0
collected_residues,2043,69.0,5.5
energy_crops,2043,57.0,10.0
imported_pellet_backstop,2043,,15.0
existing_industry_byproduct,2044,30.0,0.0
collected_residues,2044,72.0,5.5
energy_crops,2044,66.0,10.0
imported_pellet_backstop,2044,,15.0
existing_industry_byproduct,2045,30.0,0.0
collected_residues,2045,75.0,5.5
energy_crops,2045,75.0,10.0
imported_pellet_backstop,2045,,15.0
existing_industry_byproduct,2046,30.0,0.0
collected_residues,2046,78.0,5.5
energy_crops,2046,84.0,10.0
imported_pellet_backstop,2046,,15.0
existing_industry_byproduct,2047,30.0,0.0
collected_residues,2047,81.0,5.5
energy_crops,2047,93.0,10.0
imported_pellet_backstop,2047,,15.0
existing_industry_byproduct,2048,30.0,0.0
collected_residues,2048,84.0,5.5
energy_crops,2048,102.0,10.0
imported_pellet_backstop,2048,,15.0
existing_industry_byproduct,2049,30.0,0.0
collected_residues,2049,87.0,5.5
energy_crops,2049,111.0,10.0
imported_pellet_backstop,2049,,15.0
existing_industry_byproduct,2050,30.0,0.0
collected_residues,2050,90.0,5.5
energy_crops,2050,120.0,10.0
imported_pellet_backstop,2050,,15.0
existing_industry_byproduct,2051,30.0,0.0
collected_residues,2051,90.0,5.5
energy_crops,2051,120.0,10.0
imported_pellet_backstop,2051,,15.0
existing_industry_byproduct,2052,30.0,0.0
collected_residues,2052,90.0,5.5
energy_crops,2052,120.0,10.0
imported_pellet_backstop,2052,,15.0
existing_industry_byproduct,2053,30.0,0.0
collected_residues,2053,90.0,5.5
energy_crops,2053,120.0,10.0
imported_pellet_backstop,2053,,15.0
existing_industry_byproduct,2054,30.0,0.0
collected_residues,2054,90.0,5.5
energy_crops,2054,120.0,10.0
imported_pellet_backstop,2054,,15.0
existing_industry_byproduct,2055,30.0,0.0
collected_residues,2055,90.0,5.5
energy_crops,2055,120.0,10.0
imported_pellet_backstop,2055,,15.0
