tranche,financial_year,cap_pj,adder_$/gj
existing_market,2025,110.0,0.0
diverted_lng_spot,2025,50.0,2.0
new_basin_development,2025,0.0,4.0
lng_imports,2025,0.0,6.0
redirected_export_csg,2025,0.0,7.0
scarcity_backstop,2025,,18.0
existing_market,2026,110.0,0.0
diverted_lng_spot,2026,100.0,2.0
new_basin_development,2026,0.0,4.0
lng_imports,2026,0.0,6.0
redirected_export_csg,2026,0.0,7.0
scarcity_backstop,2026,,18.0
existing_market,2027,110.0,0.0
diverted_lng_spot,2027,100.0,2.0
new_basin_development,2027,0.0,4.0
lng_imports,2027,180.0,6.0
redirected_export_csg,2027,0.0,7.0
scarcity_backstop,2027,,18.0
existing_market,2028,110.0,0.0
diverted_lng_spot,2028,100.0,2.0
new_basin_development,2028,0.0,4.0
lng_imports,2028,180.0,6.0
redirected_export_csg,2028,0.0,7.0
scarcity_backstop,2028,,18.0
existing_market,2029,110.0,0.0
diverted_lng_spot,2029,100.0,2.0
new_basin_development,2029,0.0,4.0
lng_imports,2029,180.0,6.0
redirected_export_csg,2029,0.0,7.0
scarcity_backstop,2029,,18.0
existing_market,2030,110.0,0.0
diverted_lng_spot,2030,100.0,2.0
new_basin_development,2030,0.0,4.0
lng_imports,2030,180.0,6.0
redirected_export_csg,2030,0.0,7.0
scarcity_backstop,2030,,18.0
existing_market,2031,110.0,0.0
diverted_lng_spot,2031,100.0,2.0
new_basin_development,2031,25.0,4.0
lng_imports,2031,180.0,6.0
redirected_export_csg,2031,0.0,7.0
scarcity_backstop,2031,,18.0
existing_market,2032,110.0,0.0
diverted_lng_spot,2032,100.0,2.0
new_basin_development,2032,50.0,4.0
lng_imports,2032,180.0,6.0
redirected_export_csg,2032,0.0,7.0
scarcity_backstop,2032,,18.0
existing_market,2033,110.0,0.0
diverted_lng_spot,2033,100.0,2.0
new_basin_development,2033,75.0,4.0
lng_imports,2033,360.0,6.0
redirected_export_csg,2033,0.0,7.0
scarcity_backstop,2033,,18.0
existing_market,2034,110.0,0.0
diverted_lng_spot,2034,100.0,2.0
new_basin_development,2034,100.0,4.0
lng_imports,2034,360.0,6.0
redirected_export_csg,2034,0.0,7.0
scarcity_backstop,2034,,18.0
existing_market,2035,110.0,0.0
diverted_lng_spot,2035,100.0,2.0
new_basin_development,2035,125.0,4.0
lng_imports,2035,360.0,6.0
redirected_export_csg,2035,0.0,7.0
scarcity_backstop,2035,,18.0
existing_market,2036,108.0,0.0
diverted_lng_spot,2036,100.0,2.0
new_basin_development,2036,150.0,4.0
lng_imports,2036,360.0,6.0
redirected_export_csg,2036,350.0,7.0
scarcity_backstop,2036,,18.0
existing_market,2037,106.0,0.0
diverted_lng_spot,2037,100.0,2.0
new_basin_development,2037,150.0,4.0
lng_imports,2037,360.0,6.0
redirected_export_csg,2037,350.0,7.0
scarcity_backstop,2037,,18.0
existing_market,2038,104.0,0.0
diverted_lng_spot,2038,100.0,2.0
new_basin_development,2038,150.0,4.0
lng_imports,2038,360.0,6.0
redirected_export_csg,2038,350.0,7.0
scarcity_backstop,2038,,18.0
existing_market,2039,102.0,0.0
diverted_lng_spot,2039,100.0,2.0
new_basin_development,2039,150.0,4.0
lng_imports,2039,360.0,6.0
redirected_export_csg,2039,350.0,7.0
scarcity_backstop,2039,,18.0
existing_market,2040,100.0,0.0
diverted_lng_spot,2040,100.0,2.0
new_basin_development,2040,150.0,4.0
lng_imports,2040,360.0,6.0
redirected_export_csg,2040,350.0,7.0
scarcity_backstop,2040,,18.0
existing_market,2041,98.0,0.0
diverted_lng_spot,2041,100.0,2.0
new_basin_development,2041,150.0,4.0
lng_imports,2041,360.0,6.0
redirected_export_csg,2041,350.0,7.0
scarcity_backstop,2041,,18.0
existing_market,2042,96.0,0.0
diverted_lng_spot,2042,100.0,2.0
new_basin_development,2042,150.0,4.0
lng_imports,2042,360.0,6.0
redirected_export_csg,2042,350.0,7.0
scarcity_backstop,2042,,18.0
existing_market,2043,94.0,0.0
diverted_lng_spot,2043,100.0,2.0
new_basin_development,2043,150.0,4.0
lng_imports,2043,360.0,6.0
redirected_export_csg,2043,350.0,7.0
scarcity_backstop,2043,,18.0
existing_market,2044,92.0,0.0
diverted_lng_spot,2044,100.0,2.0
new_basin_development,2044,150.0,4.0
lng_imports,2044,360.0,6.0
redirected_export_csg,2044,350.0,7.0
scarcity_backstop,2044,,18.0
existing_market,2045,90.0,0.0
diverted_lng_spot,2045,100.0,2.0
new_basin_development,2045,150.0,4.0
lng_imports,2045,360.0,6.0
