sweep_id,carbon_price_aud_per_tco2e,tns_price_aud_per_tco2,year,cost_per_mwh_excl_fuel_carbon,co2_t_per_mwh,co2e_total_t_per_mwh,gj_per_mwh_coal,gj_per_mwh_diesel,gj_per_mwh_natural_gas,gj_per_mwh_biomass,annual_generation_twh,solve_gap_rel,solve_pinf_rel,solve_dinf_rel,solve_iterations,solve_wall_s,solve_model_status,tolerance_robust,carried_capex_aud_per_yr,carried_vintages,carried_gw,existing_fleet_fom_aud_per_yr,existing_fleet_active_gw,renewable_share_pct_bulk_grid,diagnostic_cost_per_mwh_year_t_incremental,diagnostic_bundled_cost_per_mwh,diagnostic_fuel_cost_per_mwh,diagnostic_carbon_cost_per_mwh
c0,0.0,0.0,2030,13.19097505848131,0.2696378053678976,0.2704678587181935,2.900028597203318,2.8983232772803865e-07,0.0916502236530796,0.0180158271160572,189.817959898235,0.117,0.000757,0.000791,126,4324.23728049919,Optimal,True,0.0,0,0.0,972440133.9577162,86.98530875400189,73.13850826941785,8.067960700519293,20.48192201050945,12.413961309990157,0.0
c0,0.0,0.0,2035,18.05776566825536,0.1407759036603487,0.1433860007209081,1.3322859798083844,3.018038209350784e-07,0.3776173600504707,1.2265949808434686,219.33623201088184,0.178,0.0103,0.00389,191,6896.749731600285,Optimal,False,803336822.4797968,1,10.31548117843213,599981213.3492097,80.82613324559657,82.5629183985966,11.659743677253964,21.957660241774114,10.297916564520149,0.0
c0,0.0,0.0,2040,23.515278488109303,0.1132551759651708,0.1184224171896529,0.949489397370464,1.0906917664173812e-06,0.5169897548239406,2.6911558351534035,239.3949206418274,0.761,0.000718,0.000111,145,5466.47302830033,Optimal,True,2730456412.612981,2,27.12520772647792,556479391.0353671,77.80627264157114,84.21567235500835,9.785096599387764,21.39606019150557,11.610963592117802,0.0
c0,0.0,0.0,2045,26.3169364759745,0.0737950559336072,0.0801323641471304,0.5394704642626403,1.0194851563867725e-06,0.4707523766336156,3.40150430221278,247.15810128266003,0.537,0.000637,5.42e-05,139,4792.754779098555,Optimal,True,4484552298.736223,3,37.489232596546486,391097523.31274873,70.81097828507713,88.8404303004193,6.590090393462395,16.734139728975705,10.14404933551331,0.0
c0,0.0,0.0,2050,30.51096838746765,0.0435611034774631,0.050905125501455,0.2327536581315307,4.671170873558097e-07,0.439948712664506,4.017204434676716,251.92536408431025,0.0759,0.00952,2.28,192,5012.698711400852,Optimal,False,5730712037.690594,4,44.48474682250041,245265194.80059817,63.54258841481793,91.39556978960702,6.789747405164134,15.867277905363784,9.07753050019965,0.0
c40,40.0,0.0,2030,19.381762615322696,0.1314582791878566,0.1336867071266155,1.3980454237265918,3.293631921505312e-06,0.0651656880579192,1.0178703916858265,189.817959898235,0.738,0.00169,0.000112,117,4275.193421199918,Optimal,True,0.0,0,0.0,820751380.9511201,84.5121631794909,87.04306763045989,15.057875763988184,27.334902952009983,6.929558902957178,5.347468285064622
c40,40.0,0.0,2035,22.6170495320524,0.0802319426591721,0.0839475222493382,0.7566769168312363,1.932201446439084e-06,0.2173587063959784,1.9354345845004064,219.33623201088184,0.624,0.00271,0.000195,131,10045.82325970009,Optimal,True,2195340142.129799,1,19.27279988723204,588440886.6045679,80.46901485494092,90.0254074779943,9.92520649630509,19.988508507135176,6.705401120856556,3.357900889973528
c40,40.0,0.0,2040,27.75435045386936,0.0674093691408696,0.0734062267663698,0.5565408317566419,1.7268743607631651e-06,0.3204299468400138,3.223419000199793,239.3949206418274,0.686,0.00121,0.000117,128,7858.295356400311,Optimal,True,3719836164.973924,2,31.47693262789673,536408833.0648994,77.36659039550621,90.46783758636955,9.97517207102122,21.03301210862796,8.121590966951945,2.9362490706547923
c40,40.0,0.0,2045,29.47912806855909,0.0481860571025956,0.0549832935614534,0.3390612283075083,5.896853866788346e-07,0.3301827885118986,3.698302064553737,247.15810128266003,0.458,0.00295,0.0004,142,9264.5975981988,Optimal,True,5535781349.401003,3,42.22504899336224,368141560.6920868,70.42953326812501,92.45467595753176,5.591896052072913,15.64641347466369,7.85518568013264,2.199331742458137
c40,40.0,0.0,2050,32.40158078694962,0.0314400714543882,0.0388448825818118,0.1433378458112226,4.558857895940706e-07,0.360696269411582,4.068622102285359,251.92536408431025,0.0541,0.00781,2.19,205,8672.381838100031,Optimal,False,6532229525.830923,4,47.96125542784444,210671318.300126,63.18646721816755,93.34419462491736,5.636110511100595,14.990005425116912,7.800099610743842,1.5537953032724752
