method_id,year,output_cost_per_unit_excl_fuel_AUD_per_MWh,diagnostic_bundled_cost_AUD_per_MWh,diagnostic_fuel_cost_AUD_per_MWh,fuel_share_of_total_cost,annual_mwh_delivered,co2e_tonnes_per_MWh,ch4_physical_kg_per_mwh,n2o_physical_kg_per_mwh,co2_kg_per_mwh
electricity__grid_supply__cost_optimal_baseline,2025,1.7502841962227889,23.66381708546253,21.913532889239743,0.9260354240441605,182226173.61167872,0.5311131529136093,0.008389242159322729,0.004992487325128391,529.5552449919893
electricity__grid_supply__cost_optimal_baseline,2030,2.8777904746452667,27.0977625026369,24.219972027991634,0.8937997011980149,212086708.7218111,0.5149859771491906,0.009049656370316421,0.004579251400629408,513.519085149655
electricity__grid_supply__cost_optimal_baseline,2035,11.317047957439106,43.1059672482262,31.788919290787092,0.7374598302766353,228853121.1984799,0.34773437307889365,0.014198948402104321,0.0028437406771354553,346.5832112441938
electricity__grid_supply__cost_optimal_baseline,2040,19.53705829477305,53.05463027317455,33.5175719784015,0.6317558299025341,253049595.14817423,0.2609915489410054,0.042043866051098056,0.005766240656766484,258.2862669175315
electricity__grid_supply__cost_optimal_baseline,2045,34.447475084956196,57.751212016096,23.303736931139806,0.4035194434472606,269918145.1989095,0.16214151026879736,0.05946875551368553,0.007971772589792496,158.36386537811916
electricity__grid_supply__cost_optimal_baseline,2050,39.95964018251882,65.36909126411786,25.409451081599034,0.38870742410865805,276299285.52560866,0.13017330040460062,0.0811424562994966,0.010332383396434145,125.16323002815966
electricity__grid_supply__fossil_incumbent,2025,1.0666489472496976,22.164274452785346,21.097625505535646,0.9518753050309907,182226173.61167872,0.5537299891070965,0.008383382951860006,0.005259548849284643,552.1014739393839
electricity__grid_supply__fossil_incumbent,2030,0.6615075860866303,23.61680945452581,22.95530186843918,0.971989968104694,212086708.7218111,0.5498374936084351,0.008491505363650134,0.0051425981267389405,548.236942954667
electricity__grid_supply__fossil_incumbent,2035,2.4218856376659024,25.44204818273694,23.020162545071038,0.9048077568177387,228853121.1984799,0.5701557994389199,0.009034559506984579,0.00530353112701567,568.4973960240652
electricity__grid_supply__fossil_incumbent,2040,7.800220399972768,33.52466663576199,25.72444623578922,0.7673289197855292,253049595.14817423,0.5057205367267839,0.010044424860359301,0.004313683785649475,504.29616662749663
