"date","Demand Response","Coal","Bioenergy","Distillate","Gas","Hydro","Wind","Solar (Utility)","Solar (Rooftop)"
"1 Jan 2010 12:00 am","0","28","0","0","9","7","0","0","0"
"1 Jan 2011 12:00 am","0","28","0","1","9","7","0","0","0"
"1 Jan 2012 12:00 am","0","28","0","1","9","8","2","0","1"
"1 Jan 2013 12:00 am","0","28","0","1","9","8","2","0","2"
"1 Jan 2014 12:00 am","0","28","0","1","9","8","3","0","2"
"1 Jan 2015 12:00 am","0","26","0","1","10","8","3","0","3"
"1 Jan 2016 12:00 am","0","26","0","1","10","8","4","0","4"
"1 Jan 2017 12:00 am","0","25","0","1","10","8","4","0","4"
"1 Jan 2018 12:00 am","0","23","0","1","10","8","4","0","5"
"1 Jan 2019 12:00 am","0","23","0","1","10","8","5","1","6"
"1 Jan 2020 12:00 am","0","23","0","1","10","8","7","3","8"
"1 Jan 2021 12:00 am","0","23","0","1","10","8","7","3","11"
"1 Jan 2022 12:00 am","0","23","0","1","10","8","8","5","14"
"1 Jan 2023 12:00 am","0","23","0","1","10","8","8","5","16"
"1 Jan 2024 12:00 am","0","21","0","1","10","8","8","5","19"
"1 Jan 2025 12:00 am","0","21","0","1","10","8","8","5","21"
"1 Jan 2026 12:00 am","0","21","0","0","11","7","11","11","25"
"1 Jan 2027 12:00 am","1","21","0","0","12","7","15","18","30"
"1 Jan 2028 12:00 am","1","18","0","0","11","7","16","27","33"
"1 Jan 2029 12:00 am","1","15","0","0","12","7","29","29","35"
"1 Jan 2030 12:00 am","2","6","0","0","12","7","36","33","38"
"1 Jan 2031 12:00 am","2","3","0","0","12","7","38","36","41"
"1 Jan 2032 12:00 am","2","2","0","0","12","7","41","38","44"
"1 Jan 2033 12:00 am","2","2","0","0","13","7","45","45","46"
"1 Jan 2034 12:00 am","2","0","0","0","14","7","48","48","48"
"1 Jan 2035 12:00 am","2","0","0","0","14","7","50","51","50"
"1 Jan 2036 12:00 am","3","0","0","0","14","7","53","62","53"
"1 Jan 2037 12:00 am","3","0","0","0","14","7","61","66","56"
"1 Jan 2038 12:00 am","3","0","0","0","13","7","62","68","59"
"1 Jan 2039 12:00 am","3","0","0","0","15","7","69","76","62"
"1 Jan 2040 12:00 am","3","0","0","0","15","7","70","98","66"
"1 Jan 2041 12:00 am","4","0","0","0","14","7","69","112","71"
"1 Jan 2042 12:00 am","4","0","0","0","15","7","71","115","75"
"1 Jan 2043 12:00 am","4","0","0","0","15","7","74","118","79"
"1 Jan 2044 12:00 am","4","0","0","0","14","7","75","118","84"
"1 Jan 2045 12:00 am","4","0","0","0","16","7","75","118","88"
"1 Jan 2046 12:00 am","5","0","0","0","15","7","77","121","93"
"1 Jan 2047 12:00 am","5","0","0","0","16","7","77","122","96"
"1 Jan 2048 12:00 am","5","0","0","0","15","7","80","122","100"
"1 Jan 2049 12:00 am","5","0","0","0","15","7","86","136","105"
"1 Jan 2050 12:00 am","5","0","0","0","16","7","84","135","108"
