"date","Demand Response","Coal","Bioenergy","Distillate","Gas","Hydro","Wind","Solar (Utility)","Solar (Rooftop)"
"1 Jan 2010 12:00 am","0","171","0","0","21","13","4","0","0"
"1 Jan 2011 12:00 am","0","162","0","0","24","16","5","0","0"
"1 Jan 2012 12:00 am","0","160","0","0","23","13","6","0","0"
"1 Jan 2013 12:00 am","0","149","0","0","24","18","7","0","0"
"1 Jan 2014 12:00 am","0","143","0","0","24","18","9","0","0"
"1 Jan 2015 12:00 am","0","148","0","0","23","13","9","0","0"
"1 Jan 2016 12:00 am","0","152","0","0","19","14","10","0","0"
"1 Jan 2017 12:00 am","0","151","0","0","19","16","11","1","6"
"1 Jan 2018 12:00 am","0","147","0","0","20","15","13","1","7"
"1 Jan 2019 12:00 am","0","144","0","0","17","15","16","3","9"
"1 Jan 2020 12:00 am","0","136","0","0","17","15","18","6","12"
"1 Jan 2021 12:00 am","0","131","0","0","13","15","21","8","14"
"1 Jan 2022 12:00 am","0","124","0","0","13","16","25","10","18"
"1 Jan 2023 12:00 am","0","121","0","0","11","16","27","13","21"
"1 Jan 2024 12:00 am","0","121","0","0","10","14","27","16","24"
"1 Jan 2025 12:00 am","0","117","0","0","11","13","31","17","28"
"1 Jan 2026 12:00 am","0","99","0","0","15","16","37","24","30"
"1 Jan 2027 12:00 am","0","82","0","0","20","18","42","32","33"
"1 Jan 2028 12:00 am","0","70","0","0","14","16","47","54","38"
"1 Jan 2029 12:00 am","0","33","0","0","9","15","90","61","44"
"1 Jan 2030 12:00 am","0","15","0","0","13","13","111","69","47"
"1 Jan 2031 12:00 am","0","10","0","0","14","13","118","77","54"
"1 Jan 2032 12:00 am","0","8","0","0","11","13","129","81","58"
"1 Jan 2033 12:00 am","0","8","0","0","12","12","139","92","61"
"1 Jan 2034 12:00 am","0","0","0","0","9","12","158","101","66"
"1 Jan 2035 12:00 am","0","0","0","0","10","14","168","110","70"
"1 Jan 2036 12:00 am","0","0","0","0","11","13","173","121","72"
"1 Jan 2037 12:00 am","0","0","0","0","10","12","192","121","72"
"1 Jan 2038 12:00 am","0","0","0","0","9","12","202","124","75"
"1 Jan 2039 12:00 am","0","0","0","0","3","11","214","135","82"
"1 Jan 2040 12:00 am","0","0","0","0","5","10","198","162","92"
"1 Jan 2041 12:00 am","0","0","0","0","5","7","203","175","97"
"1 Jan 2042 12:00 am","0","0","0","0","5","6","211","180","98"
"1 Jan 2043 12:00 am","0","0","0","0","4","7","221","175","91"
"1 Jan 2044 12:00 am","0","0","0","0","3","7","223","186","103"
"1 Jan 2045 12:00 am","1","0","0","0","5","8","227","190","115"
"1 Jan 2046 12:00 am","1","0","0","0","6","8","236","193","121"
"1 Jan 2047 12:00 am","1","0","0","0","9","7","232","203","128"
"1 Jan 2048 12:00 am","1","0","0","0","5","8","243","207","135"
"1 Jan 2049 12:00 am","1","0","0","0","9","8","249","213","141"
"1 Jan 2050 12:00 am","1","0","0","0","7","6","258","219","153"
