"date","Demand Response","Coal","Bioenergy","Distillate","Gas","Hydro","Wind","Solar (Utility)","Solar (Rooftop)"
"1 Jan 2010 12:00 am","0","171","0","0","21","13","4","0","0"
"1 Jan 2011 12:00 am","0","162","0","0","24","16","5","0","0"
"1 Jan 2012 12:00 am","0","160","0","0","23","13","6","0","0"
"1 Jan 2013 12:00 am","0","149","0","0","24","18","7","0","0"
"1 Jan 2014 12:00 am","0","143","0","0","24","18","9","0","0"
"1 Jan 2015 12:00 am","0","148","0","0","23","13","9","0","0"
"1 Jan 2016 12:00 am","0","152","0","0","19","14","10","0","0"
"1 Jan 2017 12:00 am","0","151","0","0","19","16","11","1","6"
"1 Jan 2018 12:00 am","0","147","0","0","20","15","13","1","7"
"1 Jan 2019 12:00 am","0","144","0","0","17","15","16","3","9"
"1 Jan 2020 12:00 am","0","136","0","0","17","15","18","6","12"
"1 Jan 2021 12:00 am","0","131","0","0","13","15","21","8","14"
"1 Jan 2022 12:00 am","0","124","0","0","13","16","25","10","18"
"1 Jan 2023 12:00 am","0","121","0","0","11","16","27","13","21"
"1 Jan 2024 12:00 am","0","121","0","0","10","14","27","16","24"
"1 Jan 2025 12:00 am","0","117","0","0","11","13","31","17","28"
"1 Jan 2026 12:00 am","0","110","0","0","7","14","37","20","29"
"1 Jan 2027 12:00 am","0","103","0","0","3","14","42","23","31"
"1 Jan 2028 12:00 am","0","77","0","0","2","15","48","43","35"
"1 Jan 2029 12:00 am","0","51","0","0","3","14","57","50","39"
"1 Jan 2030 12:00 am","0","29","0","0","2","12","68","63","40"
"1 Jan 2031 12:00 am","0","28","0","0","2","15","70","64","43"
"1 Jan 2032 12:00 am","0","26","0","0","1","16","79","65","45"
"1 Jan 2033 12:00 am","0","29","0","0","2","16","79","63","46"
"1 Jan 2034 12:00 am","0","26","0","0","1","13","89","65","49"
"1 Jan 2035 12:00 am","0","20","0","0","1","15","93","68","50"
"1 Jan 2036 12:00 am","0","21","0","0","2","14","98","66","50"
"1 Jan 2037 12:00 am","0","20","0","0","4","14","104","64","48"
"1 Jan 2038 12:00 am","0","18","0","0","3","15","112","62","48"
"1 Jan 2039 12:00 am","0","20","0","0","3","14","115","65","51"
"1 Jan 2040 12:00 am","0","21","0","0","6","15","110","68","55"
"1 Jan 2041 12:00 am","0","15","0","0","9","12","119","67","56"
"1 Jan 2042 12:00 am","0","15","0","0","8","12","124","71","54"
"1 Jan 2043 12:00 am","0","12","0","0","8","14","129","67","49"
"1 Jan 2044 12:00 am","0","12","0","0","9","12","132","72","53"
"1 Jan 2045 12:00 am","0","10","0","0","11","13","134","75","57"
"1 Jan 2046 12:00 am","0","9","0","0","13","12","140","75","59"
"1 Jan 2047 12:00 am","0","8","0","0","13","13","146","74","61"
"1 Jan 2048 12:00 am","0","8","0","0","10","15","151","74","64"
"1 Jan 2049 12:00 am","0","8","0","0","16","15","151","73","67"
"1 Jan 2050 12:00 am","0","0","0","0","14","14","163","77","72"
