"date","Demand Response","Coal","Bioenergy","Distillate","Gas","Hydro","Wind","Solar (Utility)","Solar (Rooftop)"
"1 Jan 2010 12:00 am","0","28","0","0","9","7","0","0","0"
"1 Jan 2011 12:00 am","0","28","0","1","9","7","0","0","0"
"1 Jan 2012 12:00 am","0","28","0","1","9","8","2","0","1"
"1 Jan 2013 12:00 am","0","28","0","1","9","8","2","0","2"
"1 Jan 2014 12:00 am","0","28","0","1","9","8","3","0","2"
"1 Jan 2015 12:00 am","0","26","0","1","10","8","3","0","3"
"1 Jan 2016 12:00 am","0","26","0","1","10","8","4","0","4"
"1 Jan 2017 12:00 am","0","25","0","1","10","8","4","0","4"
"1 Jan 2018 12:00 am","0","23","0","1","10","8","4","0","5"
"1 Jan 2019 12:00 am","0","23","0","1","10","8","5","1","6"
"1 Jan 2020 12:00 am","0","23","0","1","10","8","7","3","8"
"1 Jan 2021 12:00 am","0","23","0","1","10","8","7","3","11"
"1 Jan 2022 12:00 am","0","23","0","1","10","8","8","5","14"
"1 Jan 2023 12:00 am","0","23","0","1","10","8","8","5","16"
"1 Jan 2024 12:00 am","0","21","0","1","10","8","8","5","19"
"1 Jan 2025 12:00 am","0","21","0","1","10","8","8","5","21"
"1 Jan 2026 12:00 am","0","21","0","0","11","7","11","9","25"
"1 Jan 2027 12:00 am","1","21","0","0","12","7","15","13","29"
"1 Jan 2028 12:00 am","1","18","0","0","11","7","16","23","31"
"1 Jan 2029 12:00 am","1","15","0","0","12","7","19","27","34"
"1 Jan 2030 12:00 am","1","13","0","0","12","7","26","32","36"
"1 Jan 2031 12:00 am","1","11","0","0","12","7","29","32","38"
"1 Jan 2032 12:00 am","1","11","0","0","12","7","33","33","40"
"1 Jan 2033 12:00 am","1","11","0","0","12","7","34","36","42"
"1 Jan 2034 12:00 am","1","9","0","0","12","7","36","36","43"
"1 Jan 2035 12:00 am","1","7","0","0","12","7","40","38","45"
"1 Jan 2036 12:00 am","2","7","0","0","12","7","40","39","47"
"1 Jan 2037 12:00 am","2","6","0","0","11","7","43","41","50"
"1 Jan 2038 12:00 am","2","5","0","0","11","7","46","42","52"
"1 Jan 2039 12:00 am","2","5","0","0","13","7","51","46","54"
"1 Jan 2040 12:00 am","2","5","0","0","13","7","54","50","57"
"1 Jan 2041 12:00 am","2","4","0","0","13","7","54","52","60"
"1 Jan 2042 12:00 am","2","4","0","0","13","7","55","53","63"
"1 Jan 2043 12:00 am","2","3","0","0","14","7","57","60","66"
"1 Jan 2044 12:00 am","2","3","0","0","13","7","59","59","69"
"1 Jan 2045 12:00 am","2","2","0","0","14","7","58","59","72"
"1 Jan 2046 12:00 am","2","2","0","0","14","7","59","60","75"
"1 Jan 2047 12:00 am","2","2","0","0","14","7","58","60","78"
"1 Jan 2048 12:00 am","2","2","0","0","14","7","58","60","81"
"1 Jan 2049 12:00 am","2","2","0","0","14","7","58","63","84"
"1 Jan 2050 12:00 am","2","0","0","0","15","7","57","63","87"
