"date","Demand Response","Coal","Bioenergy","Distillate","Gas","Hydro","Wind","Solar (Utility)","Solar (Rooftop)"
"1 Jan 2010 12:00 am","0","171","0","0","21","13","4","0","0"
"1 Jan 2011 12:00 am","0","162","0","0","24","16","5","0","0"
"1 Jan 2012 12:00 am","0","160","0","0","23","13","6","0","0"
"1 Jan 2013 12:00 am","0","149","0","0","24","18","7","0","0"
"1 Jan 2014 12:00 am","0","143","0","0","24","18","9","0","0"
"1 Jan 2015 12:00 am","0","148","0","0","23","13","9","0","0"
"1 Jan 2016 12:00 am","0","152","0","0","19","14","10","0","0"
"1 Jan 2017 12:00 am","0","151","0","0","19","16","11","1","6"
"1 Jan 2018 12:00 am","0","147","0","0","20","15","13","1","7"
"1 Jan 2019 12:00 am","0","144","0","0","17","15","16","3","9"
"1 Jan 2020 12:00 am","0","136","0","0","17","15","18","6","12"
"1 Jan 2021 12:00 am","0","131","0","0","13","15","21","8","14"
"1 Jan 2022 12:00 am","0","124","0","0","13","16","25","10","18"
"1 Jan 2023 12:00 am","0","121","0","0","11","16","27","13","21"
"1 Jan 2024 12:00 am","0","121","0","0","10","14","27","16","24"
"1 Jan 2025 12:00 am","0","117","0","0","11","13","31","17","28"
"1 Jan 2026 12:00 am","0","111","0","0","8","15","37","20","30"
"1 Jan 2027 12:00 am","0","105","0","0","4","16","42","23","32"
"1 Jan 2028 12:00 am","0","80","0","0","3","18","48","45","37"
"1 Jan 2029 12:00 am","0","60","0","0","4","15","59","59","42"
"1 Jan 2030 12:00 am","0","43","0","0","3","14","81","68","45"
"1 Jan 2031 12:00 am","0","39","0","0","3","13","91","69","49"
"1 Jan 2032 12:00 am","0","34","0","0","1","13","106","70","53"
"1 Jan 2033 12:00 am","0","36","0","0","3","14","108","75","55"
"1 Jan 2034 12:00 am","0","28","0","0","3","13","122","80","60"
"1 Jan 2035 12:00 am","0","16","0","0","3","16","136","83","63"
"1 Jan 2036 12:00 am","0","19","0","0","5","15","139","83","65"
"1 Jan 2037 12:00 am","0","18","0","0","8","15","144","85","65"
"1 Jan 2038 12:00 am","0","14","0","0","6","17","154","85","66"
"1 Jan 2039 12:00 am","0","10","0","0","3","14","170","92","71"
"1 Jan 2040 12:00 am","0","10","0","0","5","13","165","98","79"
"1 Jan 2041 12:00 am","0","8","0","0","7","11","172","99","82"
"1 Jan 2042 12:00 am","0","8","0","0","6","10","179","101","82"
"1 Jan 2043 12:00 am","0","6","0","0","5","11","183","101","76"
"1 Jan 2044 12:00 am","0","6","0","0","4","10","187","106","85"
"1 Jan 2045 12:00 am","0","5","0","0","7","11","185","109","93"
"1 Jan 2046 12:00 am","0","4","0","0","8","9","191","109","97"
"1 Jan 2047 12:00 am","0","3","0","0","8","10","187","115","103"
"1 Jan 2048 12:00 am","0","3","0","0","6","11","187","118","108"
"1 Jan 2049 12:00 am","0","3","0","0","11","11","182","119","112"
"1 Jan 2050 12:00 am","0","0","0","0","8","10","189","125","121"
