import time: self [us] | cumulative | imported package
import time:       167 |        167 | winreg
import time:       671 |        671 |   _io
import time:       176 |        176 |   marshal
import time:       431 |        431 |   nt
import time:    378999 |     380276 | _frozen_importlib_external
import time:      2679 |       2679 |   time
import time:    290650 |     293328 | zipimport
import time:       127 |        127 |     _codecs
import time:    165979 |     166106 |   codecs
import time:      2156 |       2156 |   encodings.aliases
import time:    688536 |     856797 | encodings
import time:      1575 |       1575 | encodings.utf_8
import time:      1886 |       1886 | encodings.cp1252
import time:       376 |        376 | _signal
import time:       151 |        151 |     _abc
import time:    144013 |     144163 |   abc
import time:    257604 |     401766 | io
import time:       196 |        196 |       _stat
import time:    147787 |     147983 |     stat
import time:      1150 |       1150 |     _collections_abc
import time:       155 |        155 |       genericpath
import time:       304 |        304 |       _winapi
import time:    326598 |     327056 |     ntpath
import time:    451331 |     927518 |   os
import time:       388 |        388 |   _sitebuiltins
import time:     57451 |      57451 |   _virtualenv
import time:     27684 |      27684 |   _distutils_hack
import time:      1662 |       1662 |   types
import time:      1194 |       1194 |       warnings
import time:    153286 |     154480 |     importlib
import time:      1899 |       1899 |     importlib._abc
import time:       375 |        375 |           itertools
import time:      1329 |       1329 |           keyword
import time:       364 |        364 |             _operator
import time:    172063 |     172426 |           operator
import time:      1335 |       1335 |           reprlib
import time:       440 |        440 |           _collections
import time:    753958 |     929861 |         collections
import time:       214 |        214 |         _functools
import time:    318888 |    1248962 |       functools
import time:      1726 |       1726 |       _weakrefset
import time:    310268 |    1560955 |     threading
import time:    443731 |    2161063 |   importlib.util
import time:       281 |        281 |   importlib.machinery
import time:     40905 |      40905 |   sitecustomize
import time:   1253724 |    4470674 | site
import time:      6408 |       6408 |       enum
import time:       338 |        338 |         _sre
import time:      1424 |       1424 |           re._constants
import time:    164248 |     165672 |         re._parser
import time:      1747 |       1747 |         re._casefix
import time:    417162 |     584918 |       re._compiler
import time:      5776 |       5776 |       copyreg
import time:    426506 |    1023606 |     re
import time:       197 |        197 |       _csv
import time:    117348 |     117544 |     csv
import time:      3439 |       3439 |     email
import time:     42104 |      42104 |           posix
import time:    115264 |     157368 |         posixpath
import time:    130445 |     287813 |       fnmatch
import time:       241 |        241 |       errno
import time:      5502 |       5502 |         urllib
import time:       175 |        175 |         math
import time:      5912 |       5912 |         ipaddress
import time:    422416 |     434003 |       urllib.parse
import time:    487450 |    1209505 |     pathlib
import time:       193 |        193 |       binascii
import time:       188 |        188 |         zlib
import time:      3704 |       3704 |           _compression
import time:     10087 |      10087 |           _bz2
import time:    268681 |     282472 |         bz2
import time:      6252 |       6252 |           _lzma
import time:    128200 |     134452 |         lzma
import time:    391448 |     808558 |       shutil
import time:       188 |        188 |         _struct
import time:    124469 |     124657 |       struct
import time:      5948 |       5948 |         contextlib
import time:      1497 |       1497 |         zipfile._path.glob
import time:    285510 |     292955 |       zipfile._path
import time:    566127 |    1792487 |     zipfile
import time:      5390 |       5390 |     textwrap
import time:      1626 |       1626 |         _ast
import time:    127581 |     129207 |       ast
import time:       220 |        220 |           _opcode
import time:    142612 |     142832 |         opcode
import time:    200636 |     343468 |       dis
import time:      1923 |       1923 |       collections.abc
import time:      3324 |       3324 |           token
import time:       234 |        234 |           _tokenize
import time:    475877 |     479435 |         tokenize
import time:    202020 |     681455 |       linecache
import time:    668778 |    1824828 |     inspect
import time:      5195 |       5195 |         quopri
import time:       148 |        148 |               _bisect
import time:    182970 |     183117 |             bisect
import time:       232 |        232 |             _random
import time:       463 |        463 |             _sha2
import time:    492270 |     676081 |           random
import time:      9518 |       9518 |             _socket
import time:      6055 |       6055 |               select
import time:    134398 |     140453 |             selectors
import time:    385639 |     535610 |           socket
import time:       286 |        286 |             _datetime
import time:    156310 |     156595 |           datetime
import time:       165 |        165 |                 _locale
import time:    178314 |     178479 |               locale
import time:    266622 |     445101 |             calendar
import time:    220678 |     665778 |           email._parseaddr
import time:      3374 |       3374 |               base64
import time:    225556 |     228930 |             email.base64mime
import time:       325 |        325 |                 _string
import time:    204729 |     205054 |               string
import time:    158915 |     363968 |             email.quoprimime
import time:      1725 |       1725 |             email.errors
import time:      1372 |       1372 |             email.encoders
import time:   1095598 |    1691592 |           email.charset
import time:    855570 |    4581223 |         email.utils
import time:      1692 |       1692 |           email.header
import time:    255732 |     257424 |         email._policybase
import time:      1938 |       1938 |         email._encoded_words
import time:      1217 |       1217 |         email.iterators
import time:    929525 |    5776520 |       email.message
import time:       886 |        886 |         importlib.metadata._functools
import time:    165081 |     165966 |       importlib.metadata._text
import time:    335545 |    6278030 |     importlib.metadata._adapters
import time:       289 |        289 |         _typing
import time:    128120 |     128408 |       typing
import time:    120366 |     248774 |     importlib.metadata._meta
import time:      1506 |       1506 |     importlib.metadata._collections
import time:      1329 |       1329 |     importlib.metadata._itertools
import time:      4358 |       4358 |             weakref
import time:    166360 |     170718 |           tempfile
import time:      1664 |       1664 |           importlib.resources.abc
import time:      1461 |       1461 |           importlib.resources._adapters
import time:    694078 |     867919 |         importlib.resources._common
import time:      1826 |       1826 |         importlib.resources._legacy
import time:    409668 |    1279412 |       importlib.resources
import time:    165209 |    1444621 |     importlib.abc
import time:   1802409 |   15753462 |   importlib.metadata
import time:      1480 |       1480 |     email.feedparser
import time:    136523 |     138003 |   email.parser
import time:      3200 |       3200 |     __future__
import time:     31082 |      31082 |           xarray.coding
import time:     53465 |      53465 |             numpy.version
import time:     41090 |      41090 |             numpy._expired_attrs_2_0
import time:     70754 |      70754 |                 numpy._utils._convertions
import time:    215284 |     286038 |               numpy._utils
import time:    204730 |     490768 |             numpy._globals
import time:      2948 |       2948 |               numpy._distributor_init_local
import time:    263966 |     266914 |             numpy._distributor_init
import time:     29950 |      29950 |                       numpy.exceptions
import time:     31915 |      31915 |                       numpy._core._exceptions
import time:        97 |         97 |                           _contextvars
import time:    174784 |     174880 |                         contextvars
import time:    189846 |     364726 |                       numpy._core.printoptions
import time:     33952 |      33952 |                       numpy.dtypes
import time:   1268206 |    1728747 |                     numpy._core._multiarray_umath
import time:     58040 |      58040 |                       numpy._utils._inspect
import time:    387379 |     445418 |                     numpy._core.overrides
import time:    447706 |    2621869 |                   numpy._core.multiarray
import time:     24224 |      24224 |                   numpy._core.umath
import time:      4143 |       4143 |                     numbers
import time:     29352 |      29352 |                     numpy._core._dtype
import time:     30923 |      30923 |                     numpy._core._string_helpers
import time:     45893 |      45893 |                     numpy._core._type_aliases
import time:    933810 |    1044119 |                   numpy._core.numerictypes
import time:      5360 |       5360 |                               _compat_pickle
import time:       362 |        362 |                               _pickle
import time:    461679 |     467400 |                             pickle
import time:    215621 |     683021 |                           numpy._core._methods
import time:    350911 |    1033932 |                         numpy._core.fromnumeric
import time:    220657 |    1254588 |                       numpy._core.shape_base
import time:     31686 |      31686 |                       numpy._core._ufunc_config
import time:     41490 |      41490 |                       numpy._core._asarray
import time:    113345 |     113345 |                       numpy._core.arrayprint
import time:    921003 |    2362110 |                     numpy._core.numeric
import time:    288130 |    2650239 |                   numpy._core.einsumfunc
import time:     30081 |      30081 |                   numpy._core.function_base
import time:     63109 |      63109 |                   numpy._core.getlimits
import time:     41775 |      41775 |                   numpy._core.memmap
import time:     33661 |      33661 |                   numpy._core.records
import time:     44694 |      44694 |                   numpy._core._add_newdocs
import time:     83625 |      83625 |                   numpy._core._add_newdocs_scalars
import time:     36584 |      36584 |                   numpy._core._dtype_ctypes
import time:     21113 |      21113 |                       _ctypes
import time:      2047 |       2047 |                       ctypes._endian
import time:    362043 |     385202 |                     ctypes
import time:    191668 |     576870 |                   numpy._core._internal
import time:     34067 |      34067 |                   numpy._pytesttester
import time:   2788184 |   10073096 |                 numpy._core
import time:    223810 |   10296906 |               numpy._core._multiarray_umath
import time:    220422 |   10517327 |             numpy.__config__
import time:     25311 |      25311 |                               numpy._typing._nbit_base
import time:     41685 |      41685 |                               numpy._typing._nested_sequence
import time:     39317 |      39317 |                               numpy._typing._shape
import time:    679844 |     786156 |                             numpy._typing._array_like
import time:     43614 |      43614 |                             numpy._typing._char_codes
import time:     75020 |      75020 |                             numpy._typing._dtype_like
import time:     39971 |      39971 |                             numpy._typing._nbit
import time:     40853 |      40853 |                             numpy._typing._scalars
import time:     36156 |      36156 |                             numpy._typing._ufunc
import time:   1447649 |    2469416 |                           numpy._typing
import time:     27779 |      27779 |                             numpy.lib._stride_tricks_impl
import time:    280561 |     308340 |                           numpy.lib._twodim_base_impl
import time:     39538 |      39538 |                             numpy.lib._array_utils_impl
import time:    252564 |     292102 |                           numpy.lib.array_utils
import time:     61720 |      61720 |                           numpy.linalg._umath_linalg
import time:    925617 |    4057193 |                         numpy.linalg._linalg
import time:    305818 |    4363010 |                       numpy.linalg
import time:    294150 |    4657160 |                     numpy.matrixlib.defmatrix
import time:    230787 |    4887946 |                   numpy.matrixlib
import time:     59522 |      59522 |                     numpy.lib._histograms_impl
import time:    249032 |     308554 |                   numpy.lib._function_base_impl
import time:    461508 |    5658007 |                 numpy.lib._index_tricks_impl
import time:    252150 |    5910156 |               numpy.lib._arraypad_impl
import time:     26341 |      26341 |               numpy.lib._arraysetops_impl
import time:     30150 |      30150 |               numpy.lib._arrayterator_impl
import time:     44277 |      44277 |               numpy.lib._nanfunctions_impl
import time:      8598 |       8598 |                         _wmi
import time:    157250 |     165847 |                       platform
import time:    192131 |     357977 |                     numpy.lib._utils_impl
import time:    208026 |     566003 |                   numpy.lib._format_impl
import time:    230339 |     796342 |                 numpy.lib.format
import time:     28480 |      28480 |                 numpy.lib._datasource
import time:     37925 |      37925 |                 numpy.lib._iotools
import time:    503750 |    1366495 |               numpy.lib._npyio_impl
import time:     42783 |      42783 |                   numpy.lib._ufunclike_impl
import time:    235806 |     278589 |                 numpy.lib._type_check_impl
import time:    228681 |     507269 |               numpy.lib._polynomial_impl
import time:     40030 |      40030 |               numpy.lib._shape_base_impl
import time:     33219 |      33219 |               numpy.lib._version
import time:     41586 |      41586 |               numpy.lib.introspect
import time:     52091 |      52091 |               numpy.lib.mixins
import time:     27763 |      27763 |               numpy.lib.npyio
import time:     43211 |      43211 |                 numpy.lib._scimath_impl
import time:    218400 |     261610 |               numpy.lib.scimath
import time:     37068 |      37068 |               numpy.lib.stride_tricks
import time:   2548676 |   10926726 |             numpy.lib
import time:     42826 |      42826 |             numpy._array_api_info
import time:   1453545 |   23792657 |           numpy
import time:     60141 |      60141 |               pytz.exceptions
import time:     40938 |      40938 |               pytz.lazy
import time:     41997 |      41997 |               pytz.tzinfo
import time:     39376 |      39376 |               pytz.tzfile
import time:    771297 |     953747 |             pytz
import time:     43856 |      43856 |               dateutil._version
import time:    224915 |     268771 |             dateutil
import time:    102870 |     102870 |                 sysconfig
import time:    179726 |     282595 |               pandas.compat._constants
import time:     42390 |      42390 |               pandas.compat.compressors
import time:     39256 |      39256 |                   pandas.util
import time:    310453 |     349708 |                 pandas.util.version
import time:    234817 |     584525 |               pandas.compat.numpy
import time:       220 |        220 |                   gc
import time:     76512 |      76512 |                   pyarrow._generated_version
import time:      7712 |       7712 |                       _decimal
import time:    177020 |     184732 |                     decimal
import time:      4219 |       4219 |                           copy
import time:    168686 |     172905 |                         dataclasses
import time:      3827 |       3827 |                           traceback
import time:       138 |        138 |                           atexit
import time:    590501 |     594465 |                         logging
import time:      6253 |       6253 |                           _uuid
import time:    194867 |     201119 |                         uuid
import time:    677496 |    1645983 |                       cloudpickle.cloudpickle
import time:    267469 |    1913451 |                     cloudpickle
import time:      4193 |       4193 |                     signal
import time:     61989 |      61989 |                     pyarrow.util
import time:       156 |        156 |                         _heapq
import time:    247933 |     248089 |                       heapq
import time:      9337 |       9337 |                       _queue
import time:    385073 |     642497 |                     queue
import time:   2102678 |    4909539 |                   pyarrow.lib
import time:     20658 |      20658 |                   pyarrow.ipc
import time:    164407 |     164407 |                   pyarrow.types
import time:   1123075 |    6294409 |                 pyarrow
import time:    237551 |    6531960 |               pandas.compat.pyarrow
import time:    850626 |    8292094 |             pandas.compat
import time:     27203 |      27203 |                         numpy.random._common
import time:     11454 |      11454 |                             _hashlib
import time:       141 |        141 |                               _blake2
import time:    225500 |     225640 |                             hashlib
import time:    455088 |     692181 |                           hmac
import time:    221735 |     913916 |                         secrets
import time:    517206 |    1458324 |                       numpy.random.bit_generator
import time:    312724 |    1771047 |                     numpy.random._bounded_integers
import time:     48212 |      48212 |                         numpy.random._pcg64
import time:    480389 |     528601 |                       numpy.random._generator
import time:     14840 |      14840 |                       numpy.random._mt19937
import time:     25921 |      25921 |                       numpy.random._philox
import time:     13720 |      13720 |                       numpy.random._sfc64
import time:     20706 |      20706 |                       numpy.random.mtrand
import time:   1731157 |    2334942 |                     numpy.random._pickle
import time:    605572 |    4711561 |                   numpy.random
import time:    193384 |    4904945 |                 pandas._typing
import time:     13818 |      13818 |                 pandas.util._exceptions
import time:    432065 |    5350827 |               pandas._config.config
import time:     17072 |      17072 |               pandas._config.dates
import time:     18181 |      18181 |               pandas._config.display
import time:    728783 |    6114862 |             pandas._config
import time:    171665 |     171665 |               pandas.core
import time:    363180 |     534844 |             pandas.core.config_init
import time:     36452 |      36452 |                 pandas._libs.pandas_parser
import time:     11207 |      11207 |                 pandas._libs.pandas_datetime
import time:     14659 |      14659 |                             pandas._libs.tslibs.ccalendar
import time:     12386 |      12386 |                             pandas._libs.tslibs.np_datetime
import time:   1150245 |    1177290 |                           pandas._libs.tslibs.dtypes
import time:     26843 |      26843 |                             pandas._libs.tslibs.base
import time:     16232 |      16232 |                                 pandas._libs.tslibs.nattype
import time:     29945 |      29945 |                                     pandas.compat._optional
import time:      1583 |       1583 |                                       zoneinfo._tzpath
import time:      2016 |       2016 |                                       zoneinfo._common
import time:      6844 |       6844 |                                       _zoneinfo
import time:    871844 |     882285 |                                     zoneinfo
import time:     38725 |      38725 |                                         six
import time:       189 |        189 |                                         six.moves
import time:     17181 |      17181 |                                         dateutil.tz._common
import time:     17124 |      17124 |                                         dateutil.tz._factories
import time:      2240 |       2240 |                                           ctypes.wintypes
import time:    292332 |     294571 |                                         dateutil.tz.win
import time:   1516533 |    1884319 |                                       dateutil.tz.tz
import time:    325285 |    2209604 |                                     dateutil.tz
import time:    831663 |    3953496 |                                   pandas._libs.tslibs.timezones
import time:      4516 |       4516 |                                     _strptime
import time:     22102 |      22102 |                                         fcntl
import time:       273 |        273 |                                         msvcrt
import time:    494923 |     517297 |                                       subprocess
import time:    329887 |     847184 |                                     pandas._config.localization
import time:    690923 |    1542622 |                                   pandas._libs.tslibs.fields
import time:    598184 |    6094300 |                                 pandas._libs.tslibs.timedeltas
import time:     18490 |      18490 |                                 pandas._libs.tslibs.tzconversion
import time:    958863 |    7087883 |                               pandas._libs.tslibs.timestamps
import time:     13920 |      13920 |                               pandas._libs.properties
import time:    563635 |    7665437 |                             pandas._libs.tslibs.offsets
import time:     20850 |      20850 |                                   dateutil._common
import time:    330854 |     351704 |                                 dateutil.parser._parser
import time:     24271 |      24271 |                                 dateutil.parser.isoparser
import time:    798520 |    1174494 |                               dateutil.parser
import time:     18909 |      18909 |                               pandas._libs.tslibs.strptime
import time:    563263 |    1756665 |                             pandas._libs.tslibs.parsing
import time:   1076338 |   10525281 |                           pandas._libs.tslibs.conversion
import time:     22362 |      22362 |                           pandas._libs.tslibs.period
import time:     19944 |      19944 |                           pandas._libs.tslibs.vectorized
import time:   1605508 |   13350383 |                         pandas._libs.tslibs
import time:    254095 |   13604477 |                       pandas._libs.tslibs.nattype
import time:     34498 |      34498 |                       pandas._libs.ops_dispatch
import time:    745139 |   14384113 |                     pandas._libs.missing
import time:    318731 |   14702844 |                   pandas._libs.hashtable
import time:     14262 |      14262 |                   pandas._libs.algos
import time:    693257 |   15410362 |                 pandas._libs.interval
import time:   1157285 |   16615305 |               pandas._libs
import time:     87302 |      87302 |                 pandas.core.dtypes
import time:     23104 |      23104 |                 pandas._libs.lib
import time:     66276 |      66276 |                 pandas.errors
import time:     23627 |      23627 |                   pandas.core.dtypes.generic
import time:    286927 |     310554 |                 pandas.core.dtypes.base
import time:     31432 |      31432 |                 pandas.core.dtypes.inference
import time:   1287938 |    1806604 |               pandas.core.dtypes.dtypes
import time:     19727 |      19727 |                 pandas.core.dtypes.common
import time:    234463 |     254189 |               pandas.core.dtypes.missing
import time:     19167 |      19167 |                 pandas.util._decorators
import time:     33124 |      33124 |                     pandas.io
import time:    205052 |     238176 |                   pandas.io._util
import time:    209559 |     447734 |                 pandas.core.dtypes.cast
import time:     35061 |      35061 |                   pandas.core.dtypes.astype
import time:    234836 |     269896 |                 pandas.core.dtypes.concat
import time:     54927 |      54927 |                   pandas.core.array_algos
import time:     35877 |      35877 |                       numpy.ma.core
import time:     20658 |      20658 |                       numpy.ma.extras
import time:    440394 |     496928 |                     numpy.ma
import time:     20975 |      20975 |                     pandas.core.common
import time:    452000 |     969902 |                   pandas.core.construction
import time:    463344 |    1488173 |                 pandas.core.array_algos.take
import time:     57651 |      57651 |                   pandas.core.indexers.utils
import time:    306460 |     364111 |                 pandas.core.indexers
import time:   1227606 |    3816685 |               pandas.core.algorithms
import time:     27048 |      27048 |                       pyarrow._compute
import time:     19458 |      19458 |                       pyarrow._compute_docstrings
import time:     33282 |      33282 |                       pyarrow.vendored
import time:      4798 |       4798 |                           pkgutil
import time:    205282 |     210079 |                         pydoc
import time:    298916 |     508995 |                       pyarrow.vendored.docscrape
import time:   1148629 |    1737410 |                     pyarrow.compute
import time:    239768 |    1977178 |                   pandas.core.arrays.arrow.accessors
import time:      5724 |       5724 |                     unicodedata
import time:     21428 |      21428 |                     pandas.util._validators
import time:     25170 |      25170 |                     pandas.core.missing
import time:     12811 |      12811 |                         pandas._libs.ops
import time:     21441 |      21441 |                         pandas.core.roperator
import time:     23280 |      23280 |                         pandas.core.computation
import time:     31571 |      31571 |                             numexpr.interpreter
import time:     27199 |      27199 |                             numexpr.expressions
import time:     40745 |      40745 |                                 numexpr.version
import time:    252986 |     293730 |                               numexpr.utils
import time:    302693 |     596423 |                             numexpr.necompiler
import time:    750799 |    1405990 |                           pandas.core.computation.check
import time:    362785 |    1768775 |                         pandas.core.computation.expressions
import time:     22392 |      22392 |                         pandas.core.ops.missing
import time:     27218 |      27218 |                         pandas.core.ops.dispatch
import time:     31044 |      31044 |                         pandas.core.ops.invalid
import time:   1820400 |    3727358 |                       pandas.core.ops.array_ops
import time:     47598 |      47598 |                       pandas.core.ops.common
import time:     22376 |      22376 |                       pandas.core.ops.docstrings
import time:     39807 |      39807 |                       pandas.core.ops.mask_ops
import time:    988976 |    4826112 |                     pandas.core.ops
import time:     31159 |      31159 |                     pandas.core.arraylike
import time:     28672 |      28672 |                     pandas.core.arrays._arrow_string_mixins
import time:     33619 |      33619 |                     pandas.core.arrays._utils
import time:     27810 |      27810 |                       pandas.compat.numpy.function
import time:     22866 |      22866 |                       pandas.core.array_algos.quantile
import time:     24224 |      24224 |                       pandas.core.sorting
import time:    735657 |     810556 |                     pandas.core.arrays.base
import time:     44772 |      44772 |                           bottleneck.benchmark
import time:      4861 |       4861 |                             timeit
import time:    218763 |     223624 |                           bottleneck.benchmark.autotimeit
import time:    613713 |     882108 |                         bottleneck.benchmark.bench
import time:     31668 |      31668 |                         bottleneck.benchmark.bench_detailed
import time:     23350 |      23350 |                           bottleneck.tests
import time:    279190 |     302540 |                         bottleneck.tests.util
import time:     33322 |      33322 |                           bottleneck.slow.reduce
import time:     25819 |      25819 |                           bottleneck.slow.nonreduce
import time:     23077 |      23077 |                           bottleneck.slow.nonreduce_axis
import time:     22649 |      22649 |                           bottleneck.slow.move
import time:   1081211 |    1186075 |                         bottleneck.slow
import time:     23653 |      23653 |                         bottleneck._pytesttester
import time:     18451 |      18451 |                         bottleneck.move
import time:     29435 |      29435 |                         bottleneck.nonreduce
import time:     21737 |      21737 |                         bottleneck.nonreduce_axis
import time:     33568 |      33568 |                         bottleneck.reduce
import time:       321 |        321 |                                 _json
import time:    228377 |     228697 |                               json.scanner
import time:    309473 |     538170 |                             json.decoder
import time:      3150 |       3150 |                             json.encoder
import time:    496024 |    1037343 |                           json
import time:    217122 |    1254464 |                         bottleneck._version
import time:   2611906 |    6395599 |                       pandas.core.nanops
import time:     28384 |      28384 |                       pandas.core.array_algos.masked_accumulations
import time:     23795 |      23795 |                       pandas.core.array_algos.masked_reductions
import time:     24909 |      24909 |                         pandas.core.util
import time:     20670 |      20670 |                         pandas._libs.hashing
import time:    535563 |     581141 |                       pandas.core.util.hashing
import time:   1095982 |    8124900 |                     pandas.core.arrays.masked
import time:     12719 |      12719 |                       pandas._libs.arrays
import time:     22376 |      22376 |                         pandas.core.arrays.numeric
import time:    274879 |     297255 |                       pandas.core.arrays.floating
import time:     29632 |      29632 |                       pandas.core.arrays.integer
import time:     21894 |      21894 |                           pandas.core.array_algos.transforms
import time:    354798 |     376692 |                         pandas.core.arrays._mixins
import time:     35031 |      35031 |                           pandas.core.strings
import time:     43984 |      43984 |                           pandas.core.strings.base
import time:    566296 |     645311 |                         pandas.core.strings.object_array
import time:    589312 |    1611314 |                       pandas.core.arrays.numpy_
import time:     33991 |      33991 |                       pandas.io.formats
import time:     21726 |      21726 |                         pandas.io.formats.console
import time:    284278 |     306004 |                       pandas.io.formats.printing
import time:   1674742 |    3965653 |                     pandas.core.arrays.string_
import time:    121560 |     121560 |                       pandas.tseries
import time:    254776 |     376335 |                     pandas.tseries.frequencies
import time:   2995929 |   21245253 |                   pandas.core.arrays.arrow.array
import time:    636340 |   23858770 |                 pandas.core.arrays.arrow
import time:     36910 |      36910 |                 pandas.core.arrays.boolean
import time:     24670 |      24670 |                   pandas.core.accessor
import time:     33256 |      33256 |                   pandas.core.base
import time:    670492 |     728417 |                 pandas.core.arrays.categorical
import time:     14844 |      14844 |                   pandas._libs.tslib
import time:     18677 |      18677 |                     pandas.core.array_algos.datetimelike_accumulations
import time:    399347 |     418023 |                   pandas.core.arrays.datetimelike
import time:     21281 |      21281 |                   pandas.core.arrays._ranges
import time:     21942 |      21942 |                   pandas.tseries.offsets
import time:    966240 |    1442329 |                 pandas.core.arrays.datetimes
import time:     28883 |      28883 |                   pandas.core.arrays.timedeltas
import time:    305732 |     334614 |                 pandas.core.arrays.interval
import time:     26625 |      26625 |                 pandas.core.arrays.period
import time:     17135 |      17135 |                       pandas._libs.sparse
import time:    298055 |     315190 |                     pandas.core.arrays.sparse.array
import time:    334950 |     650140 |                   pandas.core.arrays.sparse.accessor
import time:    407406 |    1057545 |                 pandas.core.arrays.sparse
import time:     27821 |      27821 |                 pandas.core.arrays.string_arrow
import time:   2567287 |   30080315 |               pandas.core.arrays
import time:     36824 |      36824 |               pandas.core.flags
import time:     23989 |      23989 |                     pandas._libs.internals
import time:     22988 |      22988 |                       pandas.core._numba
import time:    415818 |     438806 |                     pandas.core._numba.executor
import time:    667310 |    1130104 |                   pandas.core.apply
import time:     16409 |      16409 |                         pandas._libs.indexing
import time:     47105 |      47105 |                           pandas.core.indexes
import time:     21213 |      21213 |                             pandas._libs.index
import time:     20016 |      20016 |                             pandas._libs.writers
import time:     14973 |      14973 |                             pandas._libs.join
import time:     24343 |      24343 |                             pandas.core.array_algos.putmask
import time:     84248 |      84248 |                             pandas.core.indexes.frozen
import time:     40096 |      40096 |                             pandas.core.strings.accessor
import time:   1808755 |    2013642 |                           pandas.core.indexes.base
