archetype_id,year,technology,capacity_gw
cost_optimal,2025,Biomass,0.0
cost_optimal,2025,Black Coal,13.555
cost_optimal,2025,Brown Coal,4.82
cost_optimal,2025,Gas,11.873959999999999
cost_optimal,2025,Hydrogen,0.0
cost_optimal,2025,Liquid Fuel,0.6635
cost_optimal,2025,Solar,10.74249
cost_optimal,2025,Water,7.65412
cost_optimal,2025,Wind,13.38497
cost_optimal,2030,Biomass,0.0
cost_optimal,2030,Black Coal,12.855
cost_optimal,2030,Brown Coal,3.37
cost_optimal,2030,Gas,10.64796
cost_optimal,2030,Hyblend,0.4
cost_optimal,2030,Hydrogen,0.0
cost_optimal,2030,Liquid Fuel,0.527
cost_optimal,2030,Solar,12.78858
cost_optimal,2030,Water,7.65412
cost_optimal,2030,Wind,15.560280267752887
cost_optimal,2035,Biomass,0.0997891598329741
cost_optimal,2035,Black Coal,7.14
cost_optimal,2035,Brown Coal,1.16
cost_optimal,2035,Gas,10.004100000000001
cost_optimal,2035,Hyblend,0.4
cost_optimal,2035,Hydrogen,0.0
cost_optimal,2035,Liquid Fuel,0.1035
cost_optimal,2035,Solar,19.238815715917358
cost_optimal,2035,Water,9.652119999999998
cost_optimal,2035,Wind,24.27697081880654
cost_optimal,2040,Biomass,0.3231146017803335
cost_optimal,2040,Black Coal,3.9
cost_optimal,2040,Brown Coal,1.16
cost_optimal,2040,Gas,7.8857
cost_optimal,2040,Hyblend,0.4
cost_optimal,2040,Hydrogen,0.0
cost_optimal,2040,Liquid Fuel,0.1035
cost_optimal,2040,Solar,31.797328958245167
cost_optimal,2040,Water,9.565719999999999
cost_optimal,2040,Wind,31.07472062655706
cost_optimal,2045,Biomass,0.564195949523822
cost_optimal,2045,Black Coal,1.696
cost_optimal,2045,Brown Coal,1.16
cost_optimal,2045,Gas,5.263
cost_optimal,2045,Hyblend,0.4
cost_optimal,2045,Hydrogen,0.0
cost_optimal,2045,Liquid Fuel,0.1035
cost_optimal,2045,Solar,35.39124651334021
cost_optimal,2045,Water,9.495719999999999
cost_optimal,2045,Wind,14.327588364393655
cost_optimal,2050,Biomass,2.316572820528334
cost_optimal,2050,Black Coal,1.696
cost_optimal,2050,Gas,2.406
cost_optimal,2050,Hyblend,0.4
cost_optimal,2050,Hydrogen,0.0
cost_optimal,2050,Liquid Fuel,0.1035
cost_optimal,2050,Solar,60.21451128126246
cost_optimal,2050,Water,9.495719999999999
cost_optimal,2050,Wind,30.858868940593393
fast_fossil_exit,2025,Biomass,0.0
fast_fossil_exit,2025,Black Coal,13.555
fast_fossil_exit,2025,Brown Coal,4.82
fast_fossil_exit,2025,Gas,11.873959999999999
fast_fossil_exit,2025,Hydrogen,0.0
fast_fossil_exit,2025,Liquid Fuel,0.6635
fast_fossil_exit,2025,Solar,10.74249
fast_fossil_exit,2025,Water,7.65412
fast_fossil_exit,2025,Wind,13.38497
fast_fossil_exit,2030,Biomass,0.0
fast_fossil_exit,2030,Gas,10.64796
fast_fossil_exit,2030,Hyblend,0.4
fast_fossil_exit,2030,Hydrogen,0.0
fast_fossil_exit,2030,Liquid Fuel,0.527
fast_fossil_exit,2030,Solar,27.170361648248175
fast_fossil_exit,2030,Water,7.65412
fast_fossil_exit,2030,Wind,34.677694699273154
fast_fossil_exit,2035,Biomass,0.09978915983297422
fast_fossil_exit,2035,Gas,10.004100000000001
fast_fossil_exit,2035,Hyblend,0.4
fast_fossil_exit,2035,Hydrogen,0.0
fast_fossil_exit,2035,Liquid Fuel,0.1035
