archetype,year,fuel,gj_per_mwh_delivered
cost_optimal,2025,coal,5.924158536186452
cost_optimal,2025,natural_gas,0.6211146035832787
cost_optimal,2025,diesel,0.0
cost_optimal,2025,biomass,0.0
cost_optimal,2025,hydrogen,0.0
cost_optimal,2025,biomethane,0.0
cost_optimal,2030,coal,5.107419343479816
cost_optimal,2030,natural_gas,0.8325749853376222
cost_optimal,2030,diesel,0.0007272069316985739
cost_optimal,2030,biomass,0.0
cost_optimal,2030,hydrogen,0.22456411965715584
cost_optimal,2030,biomethane,0.0
cost_optimal,2035,coal,2.5059196978440315
cost_optimal,2035,natural_gas,1.2028197791538078
cost_optimal,2035,diesel,0.0008820323007721883
cost_optimal,2035,biomass,0.06024844020149915
cost_optimal,2035,hydrogen,0.0
cost_optimal,2035,biomethane,0.0
cost_optimal,2040,coal,1.4358686636274451
cost_optimal,2040,natural_gas,1.2824005042561668
cost_optimal,2040,diesel,0.0027996535389192227
cost_optimal,2040,biomass,0.2859380075890712
cost_optimal,2040,hydrogen,0.0
cost_optimal,2040,biomethane,0.0
cost_optimal,2045,coal,0.8810424726522387
cost_optimal,2045,natural_gas,0.9049599805011721
cost_optimal,2045,diesel,0.0029151395194823484
cost_optimal,2045,biomass,0.32628317274472723
cost_optimal,2045,hydrogen,0.0
cost_optimal,2045,biomethane,0.0
cost_optimal,2050,coal,0.3650156824471217
cost_optimal,2050,natural_gas,0.8406733583552879
cost_optimal,2050,diesel,0.00796049279048795
cost_optimal,2050,biomass,1.3151247097181058
cost_optimal,2050,hydrogen,0.0
cost_optimal,2050,biomethane,0.0
fast_fossil_exit,2025,coal,5.924158536186452
fast_fossil_exit,2025,natural_gas,0.6211146035832787
fast_fossil_exit,2025,diesel,0.0
fast_fossil_exit,2025,biomass,0.0
fast_fossil_exit,2025,hydrogen,0.0
fast_fossil_exit,2025,biomethane,0.0
fast_fossil_exit,2030,coal,0.0
fast_fossil_exit,2030,natural_gas,1.955422163054216
fast_fossil_exit,2030,diesel,0.0017940968557802915
fast_fossil_exit,2030,biomass,0.0
fast_fossil_exit,2030,hydrogen,0.6594943861285504
fast_fossil_exit,2030,biomethane,0.0
fast_fossil_exit,2035,coal,0.0
fast_fossil_exit,2035,natural_gas,1.695738205430147
fast_fossil_exit,2035,diesel,0.0007537321000572929
fast_fossil_exit,2035,biomass,0.06024844020149927
fast_fossil_exit,2035,hydrogen,0.0
fast_fossil_exit,2035,biomethane,0.0
fast_fossil_exit,2040,coal,0.0
fast_fossil_exit,2040,natural_gas,1.4025411158635746
fast_fossil_exit,2040,diesel,0.002501152406484167
fast_fossil_exit,2040,biomass,0.2859380075890694
fast_fossil_exit,2040,hydrogen,0.0
fast_fossil_exit,2040,biomethane,0.0
fast_fossil_exit,2045,coal,0.0
fast_fossil_exit,2045,natural_gas,0.9025641676091845
fast_fossil_exit,2045,diesel,0.0030570146492475774
fast_fossil_exit,2045,biomass,0.3264670139017162
fast_fossil_exit,2045,hydrogen,0.0
fast_fossil_exit,2045,biomethane,0.0
fast_fossil_exit,2050,coal,0.0
fast_fossil_exit,2050,natural_gas,0.8407965800803414
fast_fossil_exit,2050,diesel,0.00796049279048795
fast_fossil_exit,2050,biomass,1.3151247097181082
fast_fossil_exit,2050,hydrogen,0.0
fast_fossil_exit,2050,biomethane,0.0
fossil_incumbent,2025,coal,6.162371512840482
fossil_incumbent,2025,natural_gas,0.5131754615462406
fossil_incumbent,2025,diesel,0.0
fossil_incumbent,2025,biomass,0.0
fossil_incumbent,2025,hydrogen,0.0
fossil_incumbent,2025,biomethane,0.0
