method_id,year,output_cost_per_unit_excl_fuel_AUD_per_MWh,diagnostic_bundled_cost_AUD_per_MWh,diagnostic_fuel_cost_AUD_per_MWh,fuel_share_of_total_cost,annual_mwh_delivered,co2e_tonnes_per_MWh,ch4_physical_kg_per_mwh,n2o_physical_kg_per_mwh,co2_kg_per_mwh
electricity__grid_supply__cost_optimal_baseline,2025,2.725760897123769,19.888802423628338,17.163041526504568,0.8629499736049715,200543806.8000814,0.42262650743880054,0.006790880811259976,0.0039015115812468795,421.40246220705484
electricity__grid_supply__cost_optimal_baseline,2030,2.723786558543603,22.72507097613574,20.00128441759214,0.880141779913298,229260637.57755157,0.42489159166791307,0.007473848100520312,0.0037764076760318055,423.6815758869501
electricity__grid_supply__cost_optimal_baseline,2035,25.39134748476657,45.84595191430373,20.454604429537163,0.4461594443010227,252023914.41684937,0.2666614539414141,0.00892787793952643,0.0022395777367313374,265.8179852588736
electricity__grid_supply__cost_optimal_baseline,2040,50.221821297930475,69.58019746189284,19.35837616396236,0.27821674657598394,277900927.7304444,0.19028200934857403,0.011261298087248022,0.0020038879944546035,189.4356626836006
electricity__grid_supply__cost_optimal_baseline,2045,57.26549732960387,70.23353722189032,12.968039892286452,0.18464170260022994,263111288.60284078,0.1151434506742573,0.01315996324385914,0.0020576530457798595,114.22969364629758
electricity__grid_supply__cost_optimal_baseline,2050,110.08668202257958,121.87647494084331,11.789792918263709,0.09673559170452105,296698415.99831223,0.07225139244050972,0.03715760946142052,0.004829186693723132,69.93124490175332
electricity__grid_supply__fast_fossil_exit,2025,2.7257608971237715,19.88880242362834,17.163041526504568,0.8629499736049714,200543806.8000814,0.42262650743880054,0.006790880811259976,0.0039015115812468795,421.40246220705484
electricity__grid_supply__fast_fossil_exit,2030,39.69245552714259,64.80318060037324,25.11072507323065,0.3874921699921319,229260637.57755157,0.05815316179302387,0.0040277989075953365,0.00012899540438705265,58.00619964144863
electricity__grid_supply__fast_fossil_exit,2035,44.46916783438834,64.43672560733847,19.96755777295014,0.30987852943719574,252023914.41684937,0.08791284541628067,0.0078060536549646835,0.0004206495259365703,87.58280378956847
electricity__grid_supply__fast_fossil_exit,2040,62.35128223752373,80.07467043055468,17.723388193030942,0.22133576195485782,277900927.7304444,0.07389711771106784,0.010151320648513032,0.0008306693975913209,73.39275334254778
electricity__grid_supply__fast_fossil_exit,2045,64.37902747874467,75.43382344125314,11.054795962508466,0.1465495908624835,263111288.60284078,0.04388977234180675,0.012321841198957644,0.0013273829408519307,43.193004308910176
electricity__grid_supply__fast_fossil_exit,2050,113.89586592666178,124.95708702136596,11.061221094704184,0.0885201580668479,296698415.99831223,0.04193067480089555,0.036696088776931174,0.004573470116321248,39.69121473431635
electricity__grid_supply__fossil_incumbent,2025,2.875068645332148,19.878968417513008,17.00389977218086,0.8553713359291186,200543806.8000814,0.4243848592339092,0.006777781940953905,0.003921515722323918,423.1558796731466
electricity__grid_supply__fossil_incumbent,2030,1.0945789331322302,20.168622953872998,19.074044020740768,0.9457286233355839,229260637.57755157,0.4618889901753581,0.007167956102225489,0.004282364987958738,460.5534606826867
electricity__grid_supply__fossil_incumbent,2035,2.8985649288210604,23.26355623496784,20.36499130614678,0.8754031885948642,252023914.41684937,0.5014005829707089,0.007813269287111629,0.004736904526922182,499.92653173103537
electricity__grid_supply__fossil_incumbent,2040,13.868761624374272,37.12431013569154,23.255548511317265,0.6264237214460516,277900927.7304444,0.46295431673151566,0.008924158327788659,0.004029964362773228,461.63649974220266
electricity__grid_supply__fossil_incumbent,2045,73.25618189194508,100.79398247276006,27.537800580814988,0.27320877601256777,263111288.60284078,0.3205419848425634,0.025586757861794183,0.004545996724048141,318.62086649056045
electricity__grid_supply__fossil_incumbent,2050,240.13913436183296,270.9693482552169,30.830213893383945,0.11377749583818611,296698415.99831223,0.23663587659297527,0.1153080190020974,0.015629524750214452,229.26542800210973
electricity__grid_supply__gas_bridge,2025,2.725760897123769,19.888802423628338,17.163041526504568,0.8629499736049715,200543806.8000814,0.42262650743880054,0.006790880811259976,0.0039015115812468795,421.40246220705484
electricity__grid_supply__gas_bridge,2030,39.69245552714261,64.80318060037325,25.110725073230647,0.38749216999213176,229260637.57755157,0.058153161793023836,0.0040277989075953365,0.00012899540438705265,58.006199641448596
electricity__grid_supply__gas_bridge,2035,44.469167834388344,64.43672560733849,19.96755777295014,0.3098785294371957,252023914.41684937,0.08791284541628067,0.007806053654964683,0.0004206495259365703,87.58280378956847
electricity__grid_supply__gas_bridge,2040,62.35128223752376,80.0746704305547,17.723388193030942,0.22133576195485774,277900927.7304444,0.07389711771106784,0.010151320648513032,0.0008306693975913209,73.39275334254778
electricity__grid_supply__gas_bridge,2045,64.37902747874466,75.43382344125314,11.054795962508473,0.14654959086248362,263111288.60284078,0.04388977234180678,0.012321841198957644,0.0013273829408519307,43.193004308910204
electricity__grid_supply__gas_bridge,2050,113.89586592666183,124.95708702136604,11.061221094704193,0.08852015806684792,296698415.99831223,0.04193067480089559,0.03669608877693121,0.004573470116321252,39.69121473431638
electricity__grid_supply__storage_led,2025,2.7257608971237715,19.88880242362834,17.163041526504568,0.8629499736049714,200543806.8000814,0.42262650743880054,0.006790880811259976,0.0039015115812468795,421.40246220705484
electricity__grid_supply__storage_led,2030,2.723786558543603,22.72507097613574,20.00128441759214,0.880141779913298,229260637.57755157,0.42489159166791307,0.007473848100520312,0.0037764076760318055,423.6815758869501
electricity__grid_supply__storage_led,2035,44.46916783438835,64.43672560733849,19.96755777295014,0.3098785294371957,252023914.41684937,0.08791284541628067,0.007806053654964684,0.00042064952593657044,87.58280378956847
electricity__grid_supply__storage_led,2040,62.35128223752373,80.07467043055468,17.72338819303094,0.22133576195485777,277900927.7304444,0.07389711771106784,0.010151320648513032,0.0008306693975913209,73.39275334254778
electricity__grid_supply__storage_led,2045,64.37902747874466,75.43382344125312,11.054795962508468,0.14654959086248356,263111288.60284078,0.04388977234180676,0.012321841198957644,0.0013273829408519307,43.19300430891018
electricity__grid_supply__storage_led,2050,113.89586592666186,124.95708702136604,11.061221094704186,0.08852015806684786,296698415.99831223,0.04193067480089556,0.03669608877693121,0.004573470116321253,39.691214734316354
