"method_id","year","output_cost_per_unit","cost_basis_year","currency","input_commodities","input_coefficients","input_units","energy_emissions_by_pollutant","process_emissions_by_pollutant","emissions_units","max_share","min_share","max_activity","availability_conditions","diagnostic_bundled_cost_per_unit","diagnostic_fuel_cost_per_unit","diagnostic_annual_mwh_delivered","diagnostic_ch4_physical_kg_per_mwh","diagnostic_n2o_physical_kg_per_mwh","diagnostic_co2_kg_per_mwh","renewable_share_pct","source_ids","confidence_rating","review_notes"
"electricity__grid_supply__cost_optimal_baseline",2025,3.156097680272948,2024,"AUD_2024","[""coal"", ""natural_gas""]","[5.924158536186452, 0.6211146035832787]","[""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.5735403298283918, ""CH4_CO2e"": 0.00025084482496332504, ""N2O_CO2e"": 0.0014446300295570926, ""total_CO2e"": 0.5752358046829121}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",26.67965837057203,23.52356069029908,200543806.8000814,0.00895874374869018,0.00545143407380035,573.5403298283918,24.455206285532636,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__cost_optimal_baseline",2030,6.295838086270177,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""hydrogen""]","[5.107419343479816, 0.8325749853376222, 0.0007272069316985739, 0.22456411965715584]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.507563949447219, ""CH4_CO2e"": 0.0002587640071195193, ""N2O_CO2e"": 0.001190921488875459, ""total_CO2e"": 0.509013634943214}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",33.85416930357589,27.558331217305707,229260637.57755157,0.009241571682839967,0.004494043354247018,507.56394944721904,28.75718735128181,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__cost_optimal_baseline",2035,36.82235780529311,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""biomass""]","[2.5059196978440315, 1.2028197791538078, 0.0008820323007721883, 0.06024844020149915]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.2891667280931714, ""CH4_CO2e"": 0.0002588207807582539, ""N2O_CO2e"": 0.0006476180819158986, ""total_CO2e"": 0.29007316695584556}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",57.82887780033227,21.00651999503916,252023914.41684937,0.00924359931279478,0.00244384181855056,289.1667280931714,53.93936285096053,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__cost_optimal_baseline",2040,64.81322758334102,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""biomass""]","[1.4358686636274451, 1.2824005042561668, 0.0027996535389192227, 0.2859380075890712]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.1969445782145416, ""CH4_CO2e"": 0.00040553192961338274, ""N2O_CO2e"": 0.0006580098800624322, ""total_CO2e"": 0.19800812002421742}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",84.47575436280172,19.66252677946071,277900927.7304444,0.014483283200477955,0.002483056151178989,196.9445782145416,66.4153348490347,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__cost_optimal_baseline",2045,64.88461244719115,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""hydrogen"", ""biomass""]","[0.8810424726522387, 0.9049599805011721, 0.0029151395194823484, 0.0, 0.32628317274472723]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.12754818814104948, ""CH4_CO2e"": 0.0003782805813772171, ""N2O_CO2e"": 0.0005740993332277053, ""total_CO2e"": 0.1285005680556544}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",78.9663573738984,14.081744926707263,263111288.60284078,0.013510020763472038,0.002166412578217756,127.54818814104948,75.8805339685302,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__cost_optimal_baseline",2050,127.8647737150892,2024,"AUD_2024","[""coal"", ""natural_gas"", ""diesel"", ""hydrogen"", ""biomass""]","[0.3650156824471217, 0.8406733583552879, 0.00796049279048795, 0.0, 1.3151247097181058]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.07661846048575785, ""CH4_CO2e"": 0.0011515637801869474, ""N2O_CO2e"": 0.0014149401455162865, ""total_CO2e"": 0.07918496441146108}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",140.98727055526027,13.122496840171074,296698415.99831223,0.04112727786381955,0.005339396775533156,76.61846048575785,82.35397116767454,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__fast_fossil_exit",2025,3.156097680272948,2024,"AUD_2024","[""coal"", ""natural_gas""]","[5.924158536186452, 0.6211146035832787]","[""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.5735403298283918, ""CH4_CO2e"": 0.00025084482496332504, ""N2O_CO2e"": 0.0014446300295570926, ""total_CO2e"": 0.5752358046829121}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",26.67965837057203,23.52356069029908,200543806.8000814,0.00895874374869018,0.00545143407380035,573.5403298283918,24.455253094000735,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__fast_fossil_exit",2030,60.16487051584699,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""hydrogen""]","[1.955422163054216, 0.0017940968557802915, 0.6594943861285504]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.10063410655120576, ""CH4_CO2e"": 0.00019572162599099967, ""N2O_CO2e"": 5.902148426278255e-05, ""total_CO2e"": 0.10088884966145954}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",89.87399424442715,29.709123728580167,229260637.57755157,0.00699005807110713,0.0002227225821237078,100.63410655120576,66.3847476939113,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__fast_fossil_exit",2035,58.59180214037055,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""biomass""]","[1.695738205430147, 0.0007537321000572929, 0.06024844020149927]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.08721362963290356, ""CH4_CO2e"": 0.00021784794591421983, ""N2O_CO2e"": 0.00011127133278441515, ""total_CO2e"": 0.0875427489116022}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",78.47741450423709,19.885612363866553,252023914.41684937,0.007780283782650708,0.0004198918218279816,87.21362963290356,74.94491736186887,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
"electricity__grid_supply__fast_fossil_exit",2040,78.50755134374695,2024,"AUD_2024","[""natural_gas"", ""diesel"", ""biomass""]","[1.4025411158635746, 0.002501152406484167, 0.2859380075890694]","[""GJ/MWh"", ""GJ/MWh"", ""GJ/MWh""]","{""CO2"": 0.07226544390860096, ""CH4_CO2e"": 0.0003692546328982613, ""N2O_CO2e"": 0.00032851447154627346, ""total_CO2e"": 0.0729632130130455}","{""total_CO2e"": 0.0}","tCO2e/MWh",1.0,0.0,"","national_frontier",96.03219146197375,17.524640118226806,277900927.7304444,0.013187665460652191,0.001239677251118013,72.26544390860096,79.4079206827563,"AEMO IASR 2024 v6.0; NGA Factors 2024; ISPyPSA 0.1.3","MVP_prototype","Pass-1 MVP — fuel cost subtracted post-hoc from ISPyPSA bundled LP."
