method_id,year,output_cost_per_unit_excl_fuel_AUD_per_MWh,diagnostic_bundled_cost_AUD_per_MWh,diagnostic_fuel_cost_AUD_per_MWh,fuel_share_of_total_cost,annual_mwh_delivered,co2e_tonnes_per_MWh,ch4_physical_kg_per_mwh,n2o_physical_kg_per_mwh,co2_kg_per_mwh
electricity__grid_supply__cost_optimal_baseline,2025,3.156097680272948,26.67965837057203,23.52356069029908,0.8817039695023171,200543806.8000814,0.5752358046829121,0.00895874374869018,0.00545143407380035,573.5403298283918
electricity__grid_supply__cost_optimal_baseline,2030,6.295838086270177,33.85416930357589,27.558331217305707,0.8140306433215251,229260637.57755157,0.509013634943214,0.009241571682839967,0.004494043354247018,507.56394944721904
electricity__grid_supply__cost_optimal_baseline,2035,36.82235780529311,57.82887780033227,21.00651999503916,0.3632531149500961,252023914.41684937,0.29007316695584556,0.00924359931279478,0.00244384181855056,289.1667280931714
electricity__grid_supply__cost_optimal_baseline,2040,64.81322758334102,84.47575436280172,19.66252677946071,0.23275941041041426,277900927.7304444,0.19800812002421742,0.014483283200477955,0.002483056151178989,196.9445782145416
electricity__grid_supply__cost_optimal_baseline,2045,64.88461244719115,78.9663573738984,14.081744926707263,0.17832587693049462,263111288.60284078,0.1285005680556544,0.013510020763472038,0.002166412578217756,127.54818814104948
electricity__grid_supply__cost_optimal_baseline,2050,127.8647737150892,140.98727055526027,13.122496840171074,0.09307575633239656,296698415.99831223,0.07918496441146108,0.04112727786381955,0.005339396775533156,76.61846048575785
electricity__grid_supply__fast_fossil_exit,2025,3.156097680272948,26.67965837057203,23.52356069029908,0.8817039695023171,200543806.8000814,0.5752358046829121,0.00895874374869018,0.00545143407380035,573.5403298283918
electricity__grid_supply__fast_fossil_exit,2030,60.16487051584699,89.87399424442715,29.709123728580167,0.33056418576191576,229260637.57755157,0.10088884966145954,0.00699005807110713,0.0002227225821237078,100.63410655120576
electricity__grid_supply__fast_fossil_exit,2035,58.59180214037055,78.47741450423709,19.885612363866553,0.25339280721070273,252023914.41684937,0.0875427489116022,0.007780283782650708,0.0004198918218279816,87.21362963290356
electricity__grid_supply__fast_fossil_exit,2040,78.50755134374695,96.03219146197375,17.524640118226806,0.18248714156612897,277900927.7304444,0.0729632130130455,0.013187665460652191,0.001239677251118013,72.26544390860096
electricity__grid_supply__fast_fossil_exit,2045,72.80077283541793,84.73533655245818,11.934563717040247,0.14084517985777711,263111288.60284078,0.04731137461030154,0.012561990333829149,0.0013364352523012877,46.605483539094486
electricity__grid_supply__fast_fossil_exit,2050,131.63751489944042,143.88352332386404,12.246008424423653,0.08511056819799583,296698415.99831223,0.046252298842924845,0.04060626696648463,0.005063927191240061,43.77338266218466
electricity__grid_supply__fossil_incumbent,2025,1.8573391234030452,24.24219077574206,22.384851652339016,0.9233840233094119,200543806.8000814,0.5911074599716424,0.008926037045925032,0.005612401559721494,589.3702445210303
electricity__grid_supply__fossil_incumbent,2030,0.14504104464030584,27.058217149115652,26.913176104475347,0.9946396673572027,229260637.57755157,0.5979231772336522,0.00989835648827919,0.005478716484434982,596.1941633836051
electricity__grid_supply__fossil_incumbent,2035,5.093561229829272,32.097779399838046,27.004218170008777,0.8413111023544835,252023914.41684937,0.5855341546219994,0.010179811334259178,0.0053458441891330285,583.8324711945198
electricity__grid_supply__fossil_incumbent,2040,24.4085824047434,56.84248415147574,32.43390174673234,0.5705926162604259,277900927.7304444,0.5220000383634791,0.011729698081868339,0.004310926820336454,520.5292112097976
electricity__grid_supply__fossil_incumbent,2045,127.0396714333854,160.40188483326145,33.36221339987603,0.20799140505459907,263111288.60284078,0.3433119937501466,0.050875469469628065,0.0077388141799691525,339.8366948473052
electricity__grid_supply__fossil_incumbent,2050,305.35648708471575,340.3173404983577,34.96085341364192,0.10273015580823933,296698415.99831223,0.25179865690828146,0.15654673657872017,0.020988352462335207,241.85343488155848
electricity__grid_supply__gas_bridge,2025,3.156097680272948,26.67965837057203,23.52356069029908,0.8817039695023171,200543806.8000814,0.5752358046829121,0.00895874374869018,0.00545143407380035,573.5403298283918
electricity__grid_supply__gas_bridge,2030,60.164870515846964,89.87399424442714,29.709123728580167,0.3305641857619158,229260637.57755157,0.10088884966145954,0.00699005807110713,0.0002227225821237078,100.63410655120576
electricity__grid_supply__gas_bridge,2035,58.59180214037054,78.47741450423709,19.88561236386655,0.2533928072107027,252023914.41684937,0.08754274891160217,0.007780283782650707,0.0004198918218279817,87.21362963290353
electricity__grid_supply__gas_bridge,2040,78.507551343747,96.03219146197381,17.52464011822681,0.18248714156612889,277900927.7304444,0.07296321301304548,0.01318766546065223,0.0012396772511180179,72.26544390860094
electricity__grid_supply__gas_bridge,2045,72.8007728354179,84.73533655245815,11.934563717040248,0.14084517985777717,263111288.60284078,0.04731137461030154,0.012561990333829149,0.0013364352523012877,46.605483539094486
electricity__grid_supply__gas_bridge,2050,131.63751489944036,143.883523323864,12.246008424423643,0.08511056819799577,296698415.99831223,0.04625229884292481,0.040606266966484554,0.005063927191240052,43.77338266218462
electricity__grid_supply__nuclear_included,2025,3.156097680272947,26.679658370572035,23.52356069029909,0.8817039695023172,200543806.8000814,0.5752358046829121,0.00895874374869018,0.005451434073800352,573.5403298283918
electricity__grid_supply__nuclear_included,2030,6.295838086270171,33.85416930357588,27.558331217305707,0.8140306433215253,229260637.57755157,0.509013634943214,0.009241571682839967,0.004494043354247018,507.56394944721904
electricity__grid_supply__nuclear_included,2035,36.82235780529311,57.82887780033228,21.006519995039167,0.36325311495009616,252023914.41684937,0.2900731669558456,0.009243599312794778,0.0024438418185505598,289.16672809317146
electricity__grid_supply__nuclear_included,2040,64.81322758334092,84.47575436280162,19.662526779460705,0.23275941041041448,277900927.7304444,0.19800812002421742,0.014483283200477884,0.0024830561511789795,196.94457821454162
electricity__grid_supply__nuclear_included,2045,64.88461244719115,78.9663573738984,14.081744926707257,0.17832587693049454,263111288.60284078,0.12850056805565432,0.013510020763472033,0.0021664125782177544,127.5481881410494
electricity__grid_supply__nuclear_included,2050,127.86477371508936,140.98727055526044,13.122496840171065,0.0930757563323964,296698415.99831223,0.07918496441146106,0.041127277863819624,0.005339396775533167,76.61846048575782
electricity__grid_supply__storage_led,2025,3.156097680272943,26.679658370572024,23.52356069029908,0.8817039695023173,200543806.8000814,0.5752358046829121,0.00895874374869018,0.00545143407380035,573.5403298283918
electricity__grid_supply__storage_led,2030,6.295838086270168,33.85416930357588,27.55833121730571,0.8140306433215254,229260637.57755157,0.509013634943214,0.009241571682839967,0.004494043354247018,507.56394944721904
electricity__grid_supply__storage_led,2035,58.591802140370554,78.4774145042371,19.885612363866557,0.25339280721070273,252023914.41684937,0.0875427489116022,0.007780283782650709,0.00041989182182798173,87.21362963290356
electricity__grid_supply__storage_led,2040,78.50755134374697,96.03219146197378,17.524640118226806,0.1824871415661289,277900927.7304444,0.07296321301304547,0.013187665460652203,0.0012396772511180148,72.26544390860093
electricity__grid_supply__storage_led,2045,72.80077283541793,84.73533655245816,11.934563717040245,0.14084517985777711,263111288.60284078,0.04731137461030154,0.01256199033382915,0.001336435252301288,46.605483539094486
electricity__grid_supply__storage_led,2050,131.6375148994403,143.88352332386395,12.24600842442365,0.08511056819799585,296698415.99831223,0.04625229884292483,0.04060626696648454,0.00506392719124005,43.77338266218465
