import time: self [us] | cumulative | imported package
import time:       472 |        472 | winreg
import time:       354 |        354 |   _io
import time:       141 |        141 |   marshal
import time:       368 |        368 |   nt
import time:    291466 |     292328 | _frozen_importlib_external
import time:      2370 |       2370 |   time
import time:    118191 |     120561 | zipimport
import time:       105 |        105 |     _codecs
import time:    116623 |     116728 |   codecs
import time:      2029 |       2029 |   encodings.aliases
import time:    471332 |     590088 | encodings
import time:      1376 |       1376 | encodings.utf_8
import time:      1386 |       1386 | encodings.cp1252
import time:       286 |        286 | _signal
import time:       104 |        104 |     _abc
import time:     94328 |      94432 |   abc
import time:     88311 |     182742 | io
import time:       103 |        103 |       _stat
import time:    101328 |     101431 |     stat
import time:      1360 |       1360 |     _collections_abc
import time:       136 |        136 |       genericpath
import time:       443 |        443 |       _winapi
import time:    228544 |     229123 |     ntpath
import time:    352870 |     684782 |   os
import time:       409 |        409 |   _sitebuiltins
import time:     47565 |      47565 |   _virtualenv
import time:     27567 |      27567 |   _distutils_hack
import time:      1623 |       1623 |   types
import time:      1282 |       1282 |       warnings
import time:    166884 |     168165 |     importlib
import time:      1860 |       1860 |     importlib._abc
import time:       351 |        351 |           itertools
import time:      1265 |       1265 |           keyword
import time:       163 |        163 |             _operator
import time:    342437 |     342599 |           operator
import time:      1405 |       1405 |           reprlib
import time:       289 |        289 |           _collections
import time:   1170000 |    1515908 |         collections
import time:       265 |        265 |         _functools
import time:    693499 |    2209672 |       functools
import time:      2207 |       2207 |       _weakrefset
import time:    491941 |    2703819 |     threading
import time:    468184 |    3342027 |   importlib.util
import time:       320 |        320 |   importlib.machinery
import time:     34216 |      34216 |   sitecustomize
import time:   1311892 |    5450397 | site
import time:      6002 |       6002 |     enum
import time:       232 |        232 |       _sre
import time:      1113 |       1113 |         re._constants
import time:    274018 |     275130 |       re._parser
import time:      1243 |       1243 |       re._casefix
import time:    678043 |     954648 |     re._compiler
import time:      6156 |       6156 |     copyreg
import time:    493993 |    1460797 |   re
